1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,24,23,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
53,7,8,1,20,2,10,11,5,18,3,21,4,6,23,30,25,12,16,9,15,13,19,17,27,22,32,14,24,28,37,35,26,43,45,33,46,31,34,42,40,39,48,38,47,49,52,51,53,41,44,48,29
2,6,12,18,15,19,3,20,22,21,8,4,1,16,9,28,11,5,14,7,10,17,36,13,23,31,25,30,41,26,32,34,39,52,37,43,35,33,51,38,44,40,45,24,46,42,47,49,48,53,50,47,29
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,24,23,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
3,16,8,12,9,19,11,13,1,18,7,21,10,2,5,14,4,17,6,22,20,15,24,23,25,26,28,30,29,27,34,37,38,31,39,33,35,48,32,36,44,40,43,41,47,42,45,49,46,50,52,51,53
53,7,8,1,20,2,10,11,5,18,3,21,4,6,23,30,25,12,16,9,15,13,19,17,27,22,32,14,24,28,37,35,26,43,45,33,46,31,34,42,40,39,48,38,47,49,52,51,53,41,44,48,29
2,6,12,18,15,19,3,20,22,21,8,4,1,16,9,28,11,5,14,7,10,17,36,13,23,31,25,30,41,26,32,34,39,52,37,43,35,33,51,38,44,40,45,24,46,42,47,49,48,53,50,47,29
4,7,22,12,5,2,3,1,10,13,15,11,9,16,8,14,18,20,6,52,17,27,53,25,21,23,28,19,29,36,26,35,30,34,39,31,37,32,51,38,50,33,47,24,45,48,43,40,42,41,44,46,
3,16,8,12,9,19,11,13,1,18,7,21,10,2,5,14,4,17,6,22,20,15,24,23,25,26,28,30,29,27,34,37,38,31,39,33,35,48,32,36,44,40,43,41,47,42,45,49,46,50,52,51,53
4,7,22,12,5,2,3,1,10,13,15,11,9,16,8,14,18,20,6,52,17,27,53,25,21,23,28,19,29,36,26,35,30,34,39,31,37,32,51,38,50,33,47,24,45,48,43,40,42,41,44,46,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,24,23,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
53,7,8,1,20,2,10,11,5,18,3,21,4,6,23,30,25,12,16,9,15,13,19,17,27,22,32,14,24,28,37,35,26,43,45,33,46,31,34,42,40,39,48,38,47,49,52,51,53,41,44,48,29
3,16,8,12,9,19,11,13,1,18,7,21,10,2,5,14,4,17,6,22,20,15,24,23,25,26,28,30,29,27,34,37,38,31,39,33,35,48,32,36,44,40,43,41,47,42,45,49,46,50,52,51,53
2,6,12,18,15,19,3,20,22,21,8,4,1,16,9,28,11,5,14,7,10,17,36,13,23,31,25,30,41,26,32,34,39,52,37,43,35,33,51,38,44,40,45,24,46,42,47,49,48,53,50,47,29
